"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"9/1/2023 12 a.m. EDT",505383.44,503468.34,501378.44,391
US48,"9/1/2023 1 a.m. EDT",474935.47,472127.15,469506.47,-827
US48,"9/1/2023 2 a.m. EDT",451392.77,446232.32,446138.77,-823
US48,"9/1/2023 3 a.m. EDT",431523.58,423232.07,425411.58,-562
US48,"9/1/2023 4 a.m. EDT",416826.66,412077.74,412672.66,-136
US48,"9/1/2023 5 a.m. EDT",410057.31,407268.29,406374.31,23
US48,"9/1/2023 6 a.m. EDT",411466.49,412520.83,407352.49,-322
US48,"9/1/2023 7 a.m. EDT",422401.15,426019.38,418596.15,-264
US48,"9/1/2023 8 a.m. EDT",434377.77,439741.59,430884.77,-685
US48,"9/1/2023 9 a.m. EDT",444728.59,452472.5,442085.59,-743
US48,"9/1/2023 10 a.m. EDT",460738.44,469756.66,456657.44,-2130
US48,"9/1/2023 11 a.m. EDT",481791.62,490025.46,477193.62,-1757
US48,"9/1/2023 12 p.m. EDT",504435.51,512125.64,500591.51,-1676
US48,"9/1/2023 1 p.m. EDT",527886.3,534124.84,523748.3,-1702
US48,"9/1/2023 2 p.m. EDT",550193.2,555215.98,546004.2,-1959
US48,"9/1/2023 3 p.m. EDT",570190.25,573998.34,565542.25,-2270
US48,"9/1/2023 4 p.m. EDT",586985.5,588680.6,581805.5,-2638
US48,"9/1/2023 5 p.m. EDT",599558.16,599037.82,593836.16,-3353
US48,"9/1/2023 6 p.m. EDT",606307.41,602368.02,600776.41,-3992
US48,"9/1/2023 7 p.m. EDT",601418.81,597146.15,594826.81,-4337
US48,"9/1/2023 8 p.m. EDT",586598.21,584549.44,578917.21,-4675
US48,"9/1/2023 9 p.m. EDT",567724.34,568032.29,559170.34,-5143
US48,"9/1/2023 10 p.m. EDT",545261.05,545357.98,536631.05,-5063
US48,"9/1/2023 11 p.m. EDT",518788.31,519042.08,511475.31,-4139
US48,"9/2/2023 12 a.m. EDT",490396.9,489003.16,484164.9,-2935
US48,"9/2/2023 1 a.m. EDT",464885.28,460846.57,457820.28,-3267
US48,"9/2/2023 2 a.m. EDT",441969.02,432692.38,436760.02,-1201
US48,"9/2/2023 3 a.m. EDT",423720.49,410274.49,417516.49,-1546
US48,"9/2/2023 4 a.m. EDT",408991.69,398475.61,403238.69,-1770
US48,"9/2/2023 5 a.m. EDT",399099.93,390317.64,393227.93,-1982
US48,"9/2/2023 6 a.m. EDT",394277.77,388220.38,388824.77,-1674
US48,"9/2/2023 7 a.m. EDT",394167.04,389941.07,389116.04,-1514
US48,"9/2/2023 8 a.m. EDT",396383.07,397846.33,392197.07,-1114
US48,"9/2/2023 9 a.m. EDT",405336.37,413256.15,401186.37,-1120
US48,"9/2/2023 10 a.m. EDT",423588.67,433417.94,418523.67,-2189
US48,"9/2/2023 11 a.m. EDT",448484.25,458875.24,442859.25,-2878
US48,"9/2/2023 12 p.m. EDT",474818.9,484965.04,471242.9,-1586
US48,"9/2/2023 1 p.m. EDT",503385.75,511520.11,500502.75,-825
US48,"9/2/2023 2 p.m. EDT",529853.83,535288.67,526019.83,-1953
US48,"9/2/2023 3 p.m. EDT",553032.9,556194.7,548941.9,-2254
US48,"9/2/2023 4 p.m. EDT",574330.21,574094.37,569673.21,-2487
US48,"9/2/2023 5 p.m. EDT",590628.31,588107.78,586089.31,-2707
US48,"9/2/2023 6 p.m. EDT",599620.97,593715.92,594747.97,-2910
US48,"9/2/2023 7 p.m. EDT",598172.68,590525.26,592996.68,-3391
US48,"9/2/2023 8 p.m. EDT",584892.1,579045.65,579033.1,-4330
US48,"9/2/2023 9 p.m. EDT",567016.59,563920.39,561339.59,-4212
US48,"9/2/2023 10 p.m. EDT",545930.39,542261.28,540249.39,-3418
US48,"9/2/2023 11 p.m. EDT",520245.09,516356.86,514864.09,-2843
US48,"9/3/2023 12 a.m. EDT",494243.98,487394.96,488373.98,-2548
US48,"9/3/2023 1 a.m. EDT",468527.9,460698.37,462452.9,-2353
US48,"9/3/2023 2 a.m. EDT",446909.1,437759.16,441811.1,-722
US48,"9/3/2023 3 a.m. EDT",428208.88,417432.52,423285.88,-620
US48,"9/3/2023 4 a.m. EDT",412997.46,402650.29,408195.46,-785
US48,"9/3/2023 5 a.m. EDT",402562.99,393702.26,397366.99,-1027
US48,"9/3/2023 6 a.m. EDT",396655.66,388841.75,391689.66,-1006
US48,"9/3/2023 7 a.m. EDT",395172.53,389199.51,389715.53,-1317
US48,"9/3/2023 8 a.m. EDT",396840.38,396047.32,391469.38,-1487
US48,"9/3/2023 9 a.m. EDT",409083.93,412272.85,404639.93,-1008
US48,"9/3/2023 10 a.m. EDT",433162.83,437727.88,428921.83,-745
US48,"9/3/2023 11 a.m. EDT",464374.34,468468,459949.34,-1249
US48,"9/3/2023 12 p.m. EDT",498037.62,501069.09,495179.62,-726
US48,"9/3/2023 1 p.m. EDT",532827.76,534255.84,529398.76,-871
US48,"9/3/2023 2 p.m. EDT",564071.38,563973.62,559217.38,-1477
US48,"9/3/2023 3 p.m. EDT",589146.84,588916.43,584200.84,-1649
US48,"9/3/2023 4 p.m. EDT",610679.46,609027.89,606043.46,-1672
US48,"9/3/2023 5 p.m. EDT",626451.47,623286.76,620830.47,-2383
US48,"9/3/2023 6 p.m. EDT",635093.52,628968.05,628964.52,-3644
US48,"9/3/2023 7 p.m. EDT",631870.85,625383.74,626285.85,-3481
US48,"9/3/2023 8 p.m. EDT",615168.78,612512.02,610507.78,-2729
US48,"9/3/2023 9 p.m. EDT",594843.68,594683.32,591001.68,-2064
US48,"9/3/2023 10 p.m. EDT",571505.27,570709.8,567655.27,-1312
US48,"9/3/2023 11 p.m. EDT",545146.43,541029.95,540148.43,-880
US48,"9/4/2023 12 a.m. EDT",516751.18,508422.57,511639.18,-871
US48,"9/4/2023 1 a.m. EDT",487701.66,480708.2,482916.66,40
US48,"9/4/2023 2 a.m. EDT",463071.49,454485.41,458833.49,473
US48,"9/4/2023 3 a.m. EDT",443074.35,430617.48,439051.35,886
US48,"9/4/2023 4 a.m. EDT",428790.74,420433.14,424962.74,1058
US48,"9/4/2023 5 a.m. EDT",419251.21,411188.71,415133.21,778
US48,"9/4/2023 6 a.m. EDT",415512.39,408470.98,411468.39,463
US48,"9/4/2023 7 a.m. EDT",415777.04,410684.75,411588.04,698
US48,"9/4/2023 8 a.m. EDT",416705.99,419165.99,412485.99,28
US48,"9/4/2023 9 a.m. EDT",430523.36,437503.9,426422.36,-385
US48,"9/4/2023 10 a.m. EDT",458257.04,465479.42,454010.04,-670
US48,"9/4/2023 11 a.m. EDT",495641.01,500396.56,491837.01,-1076
US48,"9/4/2023 12 p.m. EDT",536477.62,536956.71,533712.62,-364
US48,"9/4/2023 1 p.m. EDT",573814.57,570404.89,568746.57,-1035
US48,"9/4/2023 2 p.m. EDT",603046.83,600100.07,598344.83,-1282
US48,"9/4/2023 3 p.m. EDT",626352.32,625546.24,620565.32,-2144
US48,"9/4/2023 4 p.m. EDT",643268.06,645409.83,638306.06,-2459
US48,"9/4/2023 5 p.m. EDT",657453.38,659732.65,652662.38,-2033
US48,"9/4/2023 6 p.m. EDT",666121.72,665373.36,663020.72,-1900
US48,"9/4/2023 7 p.m. EDT",664734.77,659971.36,662651.77,-1489
US48,"9/4/2023 8 p.m. EDT",652627.23,646656.79,649864.23,-2264
US48,"9/4/2023 9 p.m. EDT",636077.22,629578.97,632471.22,-2361
US48,"9/4/2023 10 p.m. EDT",611506.41,602772.6,607286.41,-2131
US48,"9/4/2023 11 p.m. EDT",579030.75,569308.32,573593.75,-1430
US48,"9/5/2023 12 a.m. EDT",545047.1,535401.42,539437.1,-577
US48,"9/5/2023 1 a.m. EDT",513586.67,502437.07,507712.67,-774
US48,"9/5/2023 2 a.m. EDT",486737.23,477162.95,481442.23,222
US48,"9/5/2023 3 a.m. EDT",465445.25,456287.87,459549.25,-452
US48,"9/5/2023 4 a.m. EDT",450144.43,442944.95,444867.43,-43
US48,"9/5/2023 5 a.m. EDT",443332.91,438594.28,438074.91,-189
US48,"9/5/2023 6 a.m. EDT",447629.87,445139.96,443379.87,-51
US48,"9/5/2023 7 a.m. EDT",464818.43,462211.18,460446.43,-145
US48,"9/5/2023 8 a.m. EDT",480268.75,482737.72,476373.75,-817
US48,"9/5/2023 9 a.m. EDT",498610.28,506331.39,496206.28,-648
US48,"9/5/2023 10 a.m. EDT",524766.52,535268.62,522934.52,-1080
US48,"9/5/2023 11 a.m. EDT",556591.5,566029.99,554608.5,-1331
US48,"9/5/2023 12 p.m. EDT",589664.34,598241.44,588161.34,-778
US48,"9/5/2023 1 p.m. EDT",622101.16,627951.98,621800.16,622
US48,"9/5/2023 2 p.m. EDT",650831.09,654072.01,650897.09,1355
US48,"9/5/2023 3 p.m. EDT",672830.52,675044.31,671778.52,120
US48,"9/5/2023 4 p.m. EDT",687309.18,689947.19,685050.18,-579
US48,"9/5/2023 5 p.m. EDT",695892.53,698099.14,693656.53,-986
US48,"9/5/2023 6 p.m. EDT",700096.36,699769.13,698214.36,-1480
US48,"9/5/2023 7 p.m. EDT",695317.17,692357.93,693496.17,-1612
US48,"9/5/2023 8 p.m. EDT",682328.71,678643.93,679790.71,-2443
US48,"9/5/2023 9 p.m. EDT",666451.25,659074.45,663531.25,-2166
US48,"9/5/2023 10 p.m. EDT",639642.15,630020.44,635042.15,-2213
US48,"9/5/2023 11 p.m. EDT",605915.02,594558.31,597960.02,-3578
US48,"9/6/2023 12 a.m. EDT",568254.17,556251.75,561674.17,-1777
US48,"9/6/2023 1 a.m. EDT",533306.65,522113.58,527579.65,-961
US48,"9/6/2023 2 a.m. EDT",505081.87,491467.45,500192.87,-222
US48,"9/6/2023 3 a.m. EDT",482053.58,469595.86,476790.58,-509
US48,"9/6/2023 4 a.m. EDT",464305.22,454577.26,459009.22,-589
US48,"9/6/2023 5 a.m. EDT",455680.15,449843.15,451034.15,-57
US48,"9/6/2023 6 a.m. EDT",458364.32,455951.37,454569.32,333
US48,"9/6/2023 7 a.m. EDT",473584.4,471454.75,470035.4,384
US48,"9/6/2023 8 a.m. EDT",489250.52,490428.32,485783.52,-247
US48,"9/6/2023 9 a.m. EDT",502866.07,510462.49,500006.07,-287
US48,"9/6/2023 10 a.m. EDT",523059.14,536002.73,521224.14,218
US48,"9/6/2023 11 a.m. EDT",550666.94,564301.95,549066.94,379
US48,"9/6/2023 12 p.m. EDT",580030.71,594404.68,579163.71,816
US48,"9/6/2023 1 p.m. EDT",608800.19,622678.78,606831.19,260
US48,"9/6/2023 2 p.m. EDT",634653.4,647443.1,632678.4,374
US48,"9/6/2023 3 p.m. EDT",654492.4,667104.64,652118.4,237
US48,"9/6/2023 4 p.m. EDT",669199.33,680412.21,667381.33,426
US48,"9/6/2023 5 p.m. EDT",680019.44,688150.58,678546.44,573
US48,"9/6/2023 6 p.m. EDT",686021.91,689317.38,684891.9,184
US48,"9/6/2023 7 p.m. EDT",683040.23,681812.26,683353.23,908
US48,"9/6/2023 8 p.m. EDT",670563.9,668010.98,670098.9,834
US48,"9/6/2023 9 p.m. EDT",653179.6,647733.12,651465.6,433
US48,"9/6/2023 10 p.m. EDT",625795.77,618525.15,622293.77,307
US48,"9/6/2023 11 p.m. EDT",592707.73,583131.49,587064.73,-350
US48,"9/7/2023 12 a.m. EDT",556376.58,543977.43,551457.58,989
US48,"9/7/2023 1 a.m. EDT",523607.2,510409.77,518452.2,1163
US48,"9/7/2023 2 a.m. EDT",496044.04,480767.16,490920.03,1284
US48,"9/7/2023 3 a.m. EDT",473301.81,456439.22,468352.81,1105
US48,"9/7/2023 4 a.m. EDT",457651.6,445821.2,453131.59,682
US48,"9/7/2023 5 a.m. EDT",449210.21,441040.81,445317.21,564
US48,"9/7/2023 6 a.m. EDT",452045.87,447191.38,448633.87,744
US48,"9/7/2023 7 a.m. EDT",466804.57,462565.17,463891.57,624
US48,"9/7/2023 8 a.m. EDT",481506.81,480198.33,477814.81,-276
US48,"9/7/2023 9 a.m. EDT",494951.98,497754.07,490745.98,-1179
US48,"9/7/2023 10 a.m. EDT",514404.19,522253.03,510783.19,-1624
US48,"9/7/2023 11 a.m. EDT",541487.75,549644.85,538248.75,-1055
US48,"9/7/2023 12 p.m. EDT",571469.98,578179.44,568951.98,-990
US48,"9/7/2023 1 p.m. EDT",601380.57,605551.91,597773.57,-1188
US48,"9/7/2023 2 p.m. EDT",626905.39,629249.42,622440.39,-1125
US48,"9/7/2023 3 p.m. EDT",645358.35,648145.44,641047.35,-1857
US48,"9/7/2023 4 p.m. EDT",658163.44,660813.38,653572.44,-2012
US48,"9/7/2023 5 p.m. EDT",665250.1,667946.39,660461.1,-2962
US48,"9/7/2023 6 p.m. EDT",666836.26,668681.21,663821.26,-3088
US48,"9/7/2023 7 p.m. EDT",659536.36,660438.17,656986.36,-2644
US48,"9/7/2023 8 p.m. EDT",645519.7,647629.67,642336.7,-2859
US48,"9/7/2023 9 p.m. EDT",630521.19,629624.2,626831.19,-2135
US48,"9/7/2023 10 p.m. EDT",606495.73,601494.35,600189.73,-2201
US48,"9/7/2023 11 p.m. EDT",575359.83,567424.83,568657.83,-1023
US48,"9/8/2023 12 a.m. EDT",540945.23,530748.74,535554.23,806
US48,"9/8/2023 1 a.m. EDT",509399.3,496837.71,503992.3,1177
US48,"9/8/2023 2 a.m. EDT",483281.1,468068.47,478642.1,2152
US48,"9/8/2023 3 a.m. EDT",461708.71,447897.08,456396.71,1734
US48,"9/8/2023 4 a.m. EDT",446317.29,435085.96,441176.28,1386
US48,"9/8/2023 5 a.m. EDT",437802.75,431251.58,433478.75,1515
US48,"9/8/2023 6 a.m. EDT",439861.25,437085.77,436089.25,926
US48,"9/8/2023 7 a.m. EDT",455216.78,451165.9,451000.78,213
US48,"9/8/2023 8 a.m. EDT",468712.72,467397.83,463375.72,-1477
US48,"9/8/2023 9 a.m. EDT",480582.6,482573.71,475359.6,-1613
US48,"9/8/2023 10 a.m. EDT",496696.05,503556.03,493069.05,-1251
US48,"9/8/2023 11 a.m. EDT",519360.89,527867.7,515089.89,-1459
US48,"9/8/2023 12 p.m. EDT",544537.72,552646.73,540738.72,-1973
US48,"9/8/2023 1 p.m. EDT",570700.68,576790.06,565380.68,-2692
US48,"9/8/2023 2 p.m. EDT",595263.98,598910.06,589623.98,-2808
US48,"9/8/2023 3 p.m. EDT",613697.07,617032.32,607508.07,-3398
US48,"9/8/2023 4 p.m. EDT",622358.69,630514.39,615878.69,-3986
US48,"9/8/2023 5 p.m. EDT",627625.69,638897.24,621823.69,-3976
US48,"9/8/2023 6 p.m. EDT",630633.49,640063.27,625790.48,-3829
US48,"9/8/2023 7 p.m. EDT",623512.94,630981.6,619443.94,-3803
US48,"9/8/2023 8 p.m. EDT",608661.69,617160.86,605016.69,-2530
US48,"9/8/2023 9 p.m. EDT",593589.38,597671.91,588314.38,-3259
US48,"9/8/2023 10 p.m. EDT",572756.97,572404.28,565229.97,-3557
US48,"9/8/2023 11 p.m. EDT",546447.24,542632.71,537588.24,-3296
US48,"9/9/2023 12 a.m. EDT",516037.44,510462.37,509733.43,-1150
US48,"9/9/2023 1 a.m. EDT",485047.76,478473.37,480581.76,430
US48,"9/9/2023 2 a.m. EDT",460897.7,451964.85,456001.7,576
US48,"9/9/2023 3 a.m. EDT",441493.17,430990.15,436798.17,945
US48,"9/9/2023 4 a.m. EDT",426848.18,416645.39,422365.18,801
US48,"9/9/2023 5 a.m. EDT",416281.88,408413.3,411970.88,1027
US48,"9/9/2023 6 a.m. EDT",411737.57,405666.75,407658.57,557
US48,"9/9/2023 7 a.m. EDT",412800.93,407678.11,408845.93,511
US48,"9/9/2023 8 a.m. EDT",416594.19,415420.66,412540.19,52
US48,"9/9/2023 9 a.m. EDT",428007.84,429748.12,423957.84,-68
US48,"9/9/2023 10 a.m. EDT",446355.2,449318.3,441628.2,-874
US48,"9/9/2023 11 a.m. EDT",469467.57,472363.46,465449.57,-831
US48,"9/9/2023 12 p.m. EDT",494241.31,497153.58,492551.31,-445
US48,"9/9/2023 1 p.m. EDT",520429.35,520420.51,517386.35,-626
US48,"9/9/2023 2 p.m. EDT",543269.87,541674.92,538870.87,-966
US48,"9/9/2023 3 p.m. EDT",560678.78,559849.16,556733.78,-1219
US48,"9/9/2023 4 p.m. EDT",572382,575220.15,567584,-2598
US48,"9/9/2023 5 p.m. EDT",580688.58,586071.62,575448.58,-3155
US48,"9/9/2023 6 p.m. EDT",585740.14,590053.7,580780.14,-3748
US48,"9/9/2023 7 p.m. EDT",584243.85,585693.29,579474.85,-3506
US48,"9/9/2023 8 p.m. EDT",575574.64,574363.23,570956.64,-2787
US48,"9/9/2023 9 p.m. EDT",561802.91,559766.88,557043.9,-1884
US48,"9/9/2023 10 p.m. EDT",542649.23,539712.22,536941.23,-1763
US48,"9/9/2023 11 p.m. EDT",518542.91,512832.56,512072.91,-1883
US48,"9/10/2023 12 a.m. EDT",492375.15,484716.65,486146.15,-1224
US48,"9/10/2023 1 a.m. EDT",465150.21,454393.93,459689.2,-362
US48,"9/10/2023 2 a.m. EDT",441876.29,430848.18,437134.29,677
US48,"9/10/2023 3 a.m. EDT",423362.53,411102.93,418300.53,630
US48,"9/10/2023 4 a.m. EDT",409240.91,398908.09,404121.91,489
US48,"9/10/2023 5 a.m. EDT",399400.95,390530.72,394796.95,546
US48,"9/10/2023 6 a.m. EDT",393884.33,386552.58,389305.33,467
US48,"9/10/2023 7 a.m. EDT",393587.98,387327.9,389305.98,531
US48,"9/10/2023 8 a.m. EDT",396125.97,392882.19,392348.97,425
US48,"9/10/2023 9 a.m. EDT",406448.08,406708.36,402721.08,365
US48,"9/10/2023 10 a.m. EDT",426355.98,425609.85,422462.98,-323
US48,"9/10/2023 11 a.m. EDT",448490.7,448468.66,444850.7,-10
US48,"9/10/2023 12 p.m. EDT",471864.94,472001.88,469271.94,78
US48,"9/10/2023 1 p.m. EDT",497381.98,495918.81,494172.98,-14
US48,"9/10/2023 2 p.m. EDT",521435.98,517730.46,517798.98,-138
US48,"9/10/2023 3 p.m. EDT",541059.43,536932.04,536895.43,-641
US48,"9/10/2023 4 p.m. EDT",557810.87,553887.84,553870.87,-843
US48,"9/10/2023 5 p.m. EDT",573488.64,568363.78,570048.64,-1404
US48,"9/10/2023 6 p.m. EDT",583968.46,577273.63,579840.46,-2834
US48,"9/10/2023 7 p.m. EDT",585107.98,576711.04,581563.98,-2688
US48,"9/10/2023 8 p.m. EDT",577147.58,568785.08,573977.58,-2181
US48,"9/10/2023 9 p.m. EDT",567381.56,556623.26,564832.56,-1358
US48,"9/10/2023 10 p.m. EDT",547164.93,535241.4,542182.93,-1684
